"","Soil","Microsite","Temperature","Resp","COU","NAM","Lat_decimal","Long_decimal","ELE_1","MAT","RAI","SAC","CLC","SIC","pH","SOC","CFE","SIR","BACT_qPCR"
"101",17,1,20,4.946077075,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,53.64098361,4.803883083,41.55513331,6.645168831,2.290174835,578.2,3.817823,NA
"102",17,1,30,11.23758973,"Australia","Gibson_2",-31.300882,146.906031,193,18.6,477,53.64098361,4.803883083,41.55513331,6.645168831,2.290174835,578.2,3.817823,NA
"103",18,0,10,2.132005608,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,47.14306363,3.712516261,49.14442011,6.394,1.377282955,334.7,3.076759,NA
"104",18,0,20,3.720004473,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,47.14306363,3.712516261,49.14442011,6.394,1.377282955,334.7,3.076759,NA
"105",18,0,30,8.039225338,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,47.14306363,3.712516261,49.14442011,6.394,1.377282955,334.7,3.076759,NA
"106",18,1,10,2.71915491,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,48.0503695,6.736929851,45.21270065,6.293556561,2.523296051,542.9,3.601927,NA
"107",18,1,20,3.876742403,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,48.0503695,6.736929851,45.21270065,6.293556561,2.523296051,542.9,3.601927,NA
"108",18,1,30,10.0912273,"Australia","Truganini",-32.116667,146.663889,258,17.9,450,48.0503695,6.736929851,45.21270065,6.293556561,2.523296051,542.9,3.601927,NA
"109",19,0,10,1.793044481,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,91.29438844,4.943176159,3.762435402,4.2,5.429009793,159.8,1.85166,NA
"110",19,0,20,1.803836643,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,91.29438844,4.943176159,3.762435402,4.2,5.429009793,159.8,1.85166,NA
"111",19,0,30,3.680296986,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,91.29438844,4.943176159,3.762435402,4.2,5.429009793,159.8,1.85166,NA
"112",19,1,10,1.800114868,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,89.69118983,8.151680291,2.157129882,5.174,5.390370644,264.7,1.871565,NA
"113",19,1,20,1.949768872,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,89.69118983,8.151680291,2.157129882,5.174,5.390370644,264.7,1.871565,NA
"114",19,1,30,3.337263094,"Brasil","MorroChapeu _A",-11.338972,-41.244083,1071,20.1,652,89.69118983,8.151680291,2.157129882,5.174,5.390370644,264.7,1.871565,NA
"115",20,0,10,1.604496695,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.33450735,3.913885709,2.751606938,6.276,0.137303149,196.5,1.472223,NA
"116",20,0,20,1.446839187,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.33450735,3.913885709,2.751606938,6.276,0.137303149,196.5,1.472223,NA
"117",20,0,30,2.864416136,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.33450735,3.913885709,2.751606938,6.276,0.137303149,196.5,1.472223,NA
"118",20,1,10,1.639635481,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.01710457,5.32974784,1.653147593,5.606,0.394740156,199.5,1.581258,NA
"119",20,1,20,1.559031078,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.01710457,5.32974784,1.653147593,5.606,0.394740156,199.5,1.581258,NA
"120",20,1,30,2.658683491,"Brasil","RasoCatarina_A",-9.731667,-38.683056,601,22.5,568,93.01710457,5.32974784,1.653147593,5.606,0.394740156,199.5,1.581258,NA
"121",21,0,10,1.746013172,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,96.94662402,2.278688343,0.774687635,5.526,0.400174116,251.1,1.919629,NA
"122",21,0,20,1.908406879,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,96.94662402,2.278688343,0.774687635,5.526,0.400174116,251.1,1.919629,NA
"123",21,0,30,3.198588798,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,96.94662402,2.278688343,0.774687635,5.526,0.400174116,251.1,1.919629,NA
"124",21,1,10,1.752846349,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,95.74674472,3.796774967,0.456480309,5.166,0.764195943,312.1,1.98494,NA
"125",21,1,20,1.901308081,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,95.74674472,3.796774967,0.456480309,5.166,0.764195943,312.1,1.98494,NA
"126",21,1,30,3.330243233,"Brasil","Xiquexique _A",-11.117667,-42.736806,408,25.7,644,95.74674472,3.796774967,0.456480309,5.166,0.764195943,312.1,1.98494,NA
"127",22,0,10,2.979621218,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,67.60957414,5.746258715,26.64416715,7.642,0.173193139,306.1,2.945024,NA
"128",22,0,20,2.791993571,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,67.60957414,5.746258715,26.64416715,7.642,0.173193139,306.1,2.945024,NA
"129",22,0,30,4.468205846,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,67.60957414,5.746258715,26.64416715,7.642,0.173193139,306.1,2.945024,NA
"130",22,1,10,2.386725923,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,68.28945919,2.852737086,28.85780372,7.924,0.430321416,192.4,2.933484,NA
"131",22,1,20,2.819684639,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,68.28945919,2.852737086,28.85780372,7.924,0.430321416,192.4,2.933484,NA
"132",22,1,30,4.559262236,"Chile","Choros_P3",-29.31085,-71.247299,229,15.4,66,68.28945919,2.852737086,28.85780372,7.924,0.430321416,192.4,2.933484,NA
"133",23,0,10,2.171410589,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,85.76367099,1.575453314,12.66087569,6.586,0.221786826,203.1,2.599329,NA
"134",23,0,20,2.421643797,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,85.76367099,1.575453314,12.66087569,6.586,0.221786826,203.1,2.599329,NA
"135",23,0,30,3.479848645,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,85.76367099,1.575453314,12.66087569,6.586,0.221786826,203.1,2.599329,NA
"136",23,1,10,2.284879869,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,84.32202461,2.629443628,13.04853177,6.884,0.249668774,233.2,2.682633,NA
"137",23,1,20,2.49189329,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,84.32202461,2.629443628,13.04853177,6.884,0.249668774,233.2,2.682633,NA
"138",23,1,30,3.778317237,"Chile","El Romeral_P3",-29.74992,-71.250197,162,14.8,79,84.32202461,2.629443628,13.04853177,6.884,0.249668774,233.2,2.682633,NA
"139",24,0,10,3.054095472,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,62.69072575,28.7957189,8.513555349,6.604,1.494244134,532.6,3.147982,NA
"140",24,0,20,2.968640652,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,62.69072575,28.7957189,8.513555349,6.604,1.494244134,532.6,3.147982,NA
"141",24,0,30,4.045013364,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,62.69072575,28.7957189,8.513555349,6.604,1.494244134,532.6,3.147982,NA
"142",24,1,10,2.081111978,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,75.72676815,6.138374457,18.13485739,6.58,1.550733385,355.2,2.270575,NA
"143",24,1,20,1.968332206,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,75.72676815,6.138374457,18.13485739,6.58,1.550733385,355.2,2.270575,NA
"144",24,1,30,3.14954229,"Chile","Fray Jorge_P2",-30.660943,-71.664246,237,15.3,130,75.72676815,6.138374457,18.13485739,6.58,1.550733385,355.2,2.270575,NA
"145",25,0,10,8.096689475,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,64.19774653,2.284042274,33.5182112,6.762,1.486350034,612,10.015436,NA
"146",25,0,20,7.395322425,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,64.19774653,2.284042274,33.5182112,6.762,1.486350034,612,10.015436,NA
"147",25,0,30,19.07883149,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,64.19774653,2.284042274,33.5182112,6.762,1.486350034,612,10.015436,NA
"148",25,1,10,8.589581586,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,60.48743808,6.117303609,33.39525832,6.636,0.621588924,613.4,11.226331,NA
"149",25,1,20,9.782076947,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,60.48743808,6.117303609,33.39525832,6.636,0.621588924,613.4,11.226331,NA
"150",25,1,30,24.46992754,"Chile","Fundo Canela_P2",-31.200057,-71.584947,387,14.3,177,60.48743808,6.117303609,33.39525832,6.636,0.621588924,613.4,11.226331,NA
"151",26,0,10,9.282112129,"China","Site A",49.262694,119.177417,636,-1.1,344,56.08938547,4.916201117,38.99441341,6.532,3.033033415,304.5,8.957396,15136498075
"152",26,0,20,10.55679281,"China","Site A",49.262694,119.177417,636,-1.1,344,56.08938547,4.916201117,38.99441341,6.532,3.033033415,304.5,8.957396,15136498075
"153",26,0,30,17.96120041,"China","Site A",49.262694,119.177417,636,-1.1,344,56.08938547,4.916201117,38.99441341,6.532,3.033033415,304.5,8.957396,15136498075
